id;login;password_hash;first_name;last_name;email;activated;lang_key;created_by;is_internal;is_deleted
100;artemis_admin;$2b$04$zNlvBbWjGe82R2fqvcaMf.vXguPSF5eHRpEQ5xZL2EA7txn9HfcXi;Admin;User;artemis_admin@localhost;true;en;system;true;false
101;artemis_test_user_1;$2b$04$kNopCvKD4p485O4RbPwlXeq.c8AC6BQVJ1a9A9monvfu49BCzZNv.;Student;One;artemis_test_user_1@localhost;true;en;system;true;false
102;artemis_test_user_2;$2b$04$jD5p1kTVquFrabzJ0/ZoNuLKlnU4ReklOGjgZTp/osDw8Y7BxrlG2;Student;Two;artemis_test_user_2@localhost;true;en;system;true;false
103;artemis_test_user_3;$2b$04$rx6aCSzlrS6XnXcfVat.HOO065Rqn6lfrfUEZWIG70/v/98/WVdfu;Student;Three;artemis_test_user_3@localhost;true;en;system;true;false
104;artemis_test_user_4;$2b$04$ybveGpy/IM2q6BEpMAl.k.YnIV17NZneK6lnmyHXTFaU3yV7T52Y.;Student;Four;artemis_test_user_4@localhost;true;en;system;true;false
106;artemis_test_user_6;$2b$04$zQKV6g1PArFhe3GqPC62I.8BC6ouKzodndUrehvKzTYmi5HPn0ZNi;Tutor;User;artemis_test_user_6@localhost;true;en;system;true;false
116;artemis_test_user_16;$2b$04$S27nRGGIDENJ7PgZeklDsOPSRcxFWyYoSDy2Ri7pRGzX.S9uMWdv2;Instructor;User;artemis_test_user_16@localhost;true;en;system;true;false
105;artemis_test_user_5;$2y$04$Fvx9cd5X4CJnCBm6MVCFH.2uMNreHfXaXFrx.XEoPqMxj4QO3pGxS;Student;5;artemis_test_user_5@localhost;true;en;system;true;false
107;artemis_test_user_7;$2y$04$TyRojL3sCe2ET0cmV82UYORyRCdhlZbBgz0D/eujasy2XQf7hm4Yq;Student;7;artemis_test_user_7@localhost;true;en;system;true;false
108;artemis_test_user_8;$2y$04$0X.Y7DwAKUY5yyZshGHms.TwnrR5woZxJZF69G2s5PHtNT4GzmUB2;Student;8;artemis_test_user_8@localhost;true;en;system;true;false
109;artemis_test_user_9;$2y$04$nRnGGcC6wXYXgURYy0aFKe4.RrEy7W6GI06juBCUx9JtspPBQ/bve;Student;9;artemis_test_user_9@localhost;true;en;system;true;false
110;artemis_test_user_10;$2y$04$35J6h1bTwmsDzFs3aIR4jefNBHXUYn9YuKAD89CkNB3R7zeSQGs3S;Student;10;artemis_test_user_10@localhost;true;en;system;true;false
111;artemis_test_user_11;$2y$04$q8HHBrYK1vvE2Uq4nnprPOhf.redOu1IiUisC9bCuKufmCfAe8dMm;Student;11;artemis_test_user_11@localhost;true;en;system;true;false
112;artemis_test_user_12;$2y$04$5x4FMUEAVXhOmxziqH/Q6.5WKvqWl2cjijpB1/AS337lIJmwdMXlO;Student;12;artemis_test_user_12@localhost;true;en;system;true;false
113;artemis_test_user_13;$2y$04$y/WxOHlNFWzGUHwy14ylQOe9fpsDjRsEI1hr5/XGcHsyB.yXg8Wdq;Student;13;artemis_test_user_13@localhost;true;en;system;true;false
114;artemis_test_user_14;$2y$04$LRiHfQkCRALKojdjHKUsTufZVwAgWGrmZGDZ9TBBY8rOtwHyf3LnC;Student;14;artemis_test_user_14@localhost;true;en;system;true;false
115;artemis_test_user_15;$2y$04$hXLrth.r1.Y7/jWk6vMnsepJjkSFNBls.axEhCghF9bvsE3VKprbC;Student;15;artemis_test_user_15@localhost;true;en;system;true;false
117;artemis_test_user_17;$2y$04$SognffPvxDb5Dg2KpFdmHum1ott8AGnPrg28hspgu7cClFnXRpazW;Student;17;artemis_test_user_17@localhost;true;en;system;true;false
118;artemis_test_user_18;$2y$04$ny5zqT3yCYkbPjTjoylV.OMtcenKv43YRw9inYLA0rbzntHy8NdFO;Student;18;artemis_test_user_18@localhost;true;en;system;true;false
119;artemis_test_user_19;$2y$04$dt5pt/kejemxlC1SMvfUCeiFx8WO0uTE5hCyuZwuV435b/.qgPajm;Student;19;artemis_test_user_19@localhost;true;en;system;true;false
120;artemis_test_user_20;$2y$04$JgyIfctTXeR3VhrXb4hpF.aegHLXn6Yt.zy/kK72Tt.tDVJPUcAAe;Student;20;artemis_test_user_20@localhost;true;en;system;true;false
121;artemis_test_user_21;$2y$04$Mws5sZs3TNDLUlw4vPbK4.0TAeh4JZ86yG8RACCxJ8nscGxPWAfyS;Tutor;21;artemis_test_user_21@localhost;true;en;system;true;false
